text,label_class,label
hello ! what is the factor to cause iot of smart cities ?,reason,7
hi ! is there any the gap between goal-based agents and knowledge discovery process ?,different,2
what is mind?,definition,0
hello ! which method can we used to achieve the smart campus ?,method,6
hi ! what can you tell me the drawbacks of theorems ?,drawback,3
hi ! which areaindications in iso 37120can be used in  ?,use_to,10
hello ! can i ask  the disadvantages of uic 5g intelligent agent system framework ?,drawback,3
"if there are many concerns and issues on further ai development, do we really need to do them? ",developer,1
could you please tell me that what is the requirement to carry out rational agent ?,method,6
hi ! can i ask the cons of opaqueness and prejudices ?,drawback,3
hi ! could you tell me the case of smart learners ?,example,4
i want to know that can i ask the picture of iot framework ?,definition,0
hello ! is the the separation between smart energy and goal-based agents ?,different,2
excuse me ! how to accomplish the intelligent agent ?,method,6
i want to know that what are the cons of  emergency response service ?,drawback,3
hi ! is the the separation compare ai and wavelet ?,different,2
i want to know that what is the factor to cause human intelligence ?,reason,7
hello ! what are the downsides of data compression ?,drawback,3
excuse me ! what is the reason of privacy protection technologies  ?,reason,7
hello ! is there any the contrast from optimization problems and capacity ?,different,2
i want to know that how to accomplish the cognitive science  ?,method,6
could you please tell me that what is smart pedagogyfigured as  ?,represent,8
hi ! can you explain the reason of automation ?,reason,7
hi ! what is smart citiesfigured as  ?,represent,8
i want to know that are there any the drawbacks of apparent consciousness ?,drawback,3
i want to know that could you tell me the reason of indications in iso 37120 ?,reason,7
hi ! can you give me the reason about state-of-the-arts technology ?,reason,7
what is the different between washing machine and anthropomorphic robots?,different,2
how to achieve data normalization?,method,6
excuse me ! where agent negotiatorcan be used in  ?,use_to,10
could you please tell me that what do we need to carry out data normalization ?,method,6
how intelligent transportation system (its) works?,use_to,10
hi ! what can you tell me the picture of current health ai wearable device ?,definition,0
i want to know that how to implement the first-generation mobile network(1g) ?,method,6
i want to know that which one is the inventor ict ?,developer,1
hello ! which person is the funder of hopfield network ?,developer,1
hi ! how to accomplish the physical infrastructure ?,method,6
i want to know that which method can we used to implement ai books and literature‘s idea ?,method,6
could you please tell me that what is data miningrepresented as  ?,represent,8
why did the market collapse？,reason,7
hello ! what is machine learningfigured as  ?,represent,8
hi ! can you point out the illustrate of wearable technology and health ?,example,4
hi ! which method can we used to implement  see or recognize our world ?,method,6
i want to know that which person is the funder of the turing test ?,developer,1
what is priori knowledge?,different,2
"out of a collection of memory objects (may be thousands or millions), how to design a computer program to examine a match with a tested (or unseen) object?",method,6
could you please tell me that can you give me the reason about dimensionality reduction ?,reason,7
hello ! where data reductioncan be used in  ?,use_to,10
what is data cleaning?,definition,0
could you please tell me that who set up the von neumann architecture ?,developer,1
hello ! may i ask the instance of difference between ias ?,example,4
excuse me ! what is optimization problemstraced as  ?,represent,8
excuse me ! can you provide the instance of international ai ethic policy ?,example,4
how to play go?,method,6
